Name,Country,Budget,Beach,Hiking,Food,History,Photography,Surfing,Skiing,Nature,Relaxing,Nightlife,Party,City,Culture,Adventure,Image_url,Description
Bali,Indonesia,low,1,1,1,1,1,1,0,1,1,1,1,1,1,1,https://plus.unsplash.com/premium_photo-1677829177642-30def98b0963?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A tropical island with beaches, rice terraces, forests, and waterfalls. Activities include surfing, snorkeling, hiking, temple visits, and exploring local markets."
Lisbon,Portugal,mid,1,0,1,1,1,1,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1588535684923-900727736ac0?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A colorful coastal city with historic streets, viewpoints, and nearby beaches. Visitors can explore castles, try Portuguese food, surf, and explore the city's neighborhoods."
Prague,Czech Republic,low,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1564511287568-54483b52a35e?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A beautiful historic city filled with castles, bridges, and medieval architecture. Activities include sightseeing, exploring Old Town, visiting museums, and trying Czech cuisine."
Tokyo,Japan,high,0,1,1,1,1,0,0,0,0,1,1,1,1,1,https://images.unsplash.com/photo-1513407030348-c983a97b98d8?q=80&w=1472&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A huge modern city combining skyscrapers, technology, traditional temples, and lively neighborhoods. You can explore markets, temples, shopping districts, parks, and Japanese food spots."
Chiang Mai,Thailand,low,0,1,1,1,1,0,0,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1512553353614-82a7370096dc?q=80&w=1632&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A peaceful mountain city surrounded by forests and rich cultural sites. Visitors can hike, visit temples, explore night markets, and experience the surrounding nature."
Barcelona,Spain,mid,1,1,1,1,1,1,0,0,1,1,1,1,1,1,https://images.unsplash.com/photo-1630219694734-fe47ab76b15e?q=80&w=1504&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A lively Mediterranean city with beaches, unique architecture, and vibrant streets. Activities include sightseeing, relaxing at beaches, exploring markets, and enjoying Spanish food."
Amsterdam,Netherlands,high,0,0,1,1,1,0,0,0,0,1,1,1,1,0,https://images.unsplash.com/photo-1534351590666-13e3e96b5017?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A scenic city famous for canals, historic buildings, museums, and cycling. Visitors can explore the city by bike, take canal trips, visit museums, and enjoy its parks."
Reykjavik,Iceland,high,0,1,0,1,1,0,0,1,1,1,0,1,1,1,https://images.unsplash.com/photo-1606130503037-6a8ef67c9d2d?q=80&w=1625&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A small city surrounded by dramatic volcanic landscapes, mountains, and coastline. Activities include exploring natural scenery, hiking, visiting geothermal areas, and taking trips to see waterfalls."
San Jose,Costa Rica,mid,0,1,1,0,1,1,0,1,1,1,1,1,1,1,https://images.unsplash.com/photo-1682963847132-1923d1e7928a?q=80&w=1633&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A lively capital surrounded by mountains, forests, and volcanic landscapes. Visitors can explore museums and markets, hike, and take trips to waterfalls, volcanoes, and national parks."
Queenstown,New Zealand,high,0,1,1,0,1,0,1,1,0,1,0,0,0,1,https://images.unsplash.com/photo-1600466403153-50193d187dde?q=80&w=1548&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"A spectacular mountain destination surrounded by lakes and dramatic scenery. It is great for hiking, skiing, bungee jumping, boating, and other outdoor adventures."
